Fornecedor,Categoria,Sub-Categoria,Produto,Marca/Mod.,Requer manut,Preço,dpr,Obs.
Adptolim,Acabamentos,Acabamento,Acabamento acrilico 20 lts,,,0,1,Acabamentos 5 ou 20 lts estudo caso a caso diferentes tipos de trafego. marcas. preços. Consultar a DI e o inspetor da limpeza. Checar metragem.
Adptolim,Acabamentos,Acabamento,acabamento acrilico 5 lts,,,0,1,Acabamentos 5 ou 20 lts estudo caso a caso diferentes tipos de trafego. marcas. preços. Consultar a DI e o inspetor da limpeza. Checar metragem.
Adptolim,Acabamentos,Acabamento,cera incolor acrílica convencional 1 lt,tipo bravo,,9.9,1,Checar metragem
Adptolim,Acabamentos,Acabamento,cera incolor acrílica convencional 5 lt,tipo bravo,,43.9,1,Checar metragem
Adptolim,Acabamentos,Acabamento,haste e base aplicador cera 45cm,,,0,12,
Adptolim,Acabamentos,Acabamento,luva do aplicador 45 cm,,,0,1,
Adptolim,Acabamentos,Acabamento,removedor de acabamentos 20 lts,,,0,1,Fazer estudo caso a caso. procurar descritivo do processo de impermeabilização em fornecedores dinatok. spartan (limpeza pura) e adptolim. Diferentes procedimentos e marcas dependendo de pisos externos e internos.
Adptolim,Acabamentos,Acabamento,removedor de acabamentos 5 lts,,,0,1,Fazer estudo caso a caso. procurar descritivo do processo de impermeabilização em fornecedores dinatok. spartan (limpeza pura) e adptolim. Diferentes procedimentos e marcas dependendo de pisos externos e internos.
Adptolim,Acabamentos,Acabamento,selador para acabamentos 20 lts,,,0,1,Fazer estudo caso a caso. procurar descritivo do processo de impermeabilização em fornecedores dinatok. spartan (limpeza pura) e adptolim. Diferentes procedimentos e marcas dependendo de pisos externos e internos.
Adptolim,Acabamentos,Acabamento,selador para acabamentos 5 lts,,,0,1,Para fazer no flor da aldeia são 60m2 entre o hall externo (20m) e a área da portaria(40M). enxague da remoção com deterg neutro esperar secar 24hs. Aplicador e luva de aplicação não usar pano e rodo na aplicação. Comprar 5 lts a mais de acabamento pq na compra abaixo faltou p uma manutenção posterior. Na primeira impermeabilização compramos na limpeza pura dez/16: 1. usamos o trend setter da spartan (a dinatok não tem o equivalente. acho melhor continuar com a spartan. há um orçamento da adptolim na pasta email em orçamento jul17) pq é área externa e foi muito bom 5lts foi muito justo melhor 10 ou 15 lts e 2. removedor lim magico super removedor de 2lts. 3. Usamos cloro para clarear o piso externo 2lts. Repetimos a compra em jul17 na limpeza pura mesmo pq deu certo e tem prodts de 2lts.
CAMPOLI,Acabamentos,Acabamento,limpador resíduos cimento e argamassa - Decrust B 5 L,,,73.5,1,Para fazer no flor da aldeia são 60m2 entre o hall externo (20m) e a área da portaria(40M). enxague da remoção com deterg neutro esperar secar 24hs. Aplicador e luva de aplicação não usar pano e rodo na aplicação. Comprar 5 lts a mais de acabamento pq na compra abaixo faltou p uma manutenção posterior. Na primeira impermeabilização compramos na limpeza pura dez/16: 1. usamos o trend setter da spartan (a dinatok não tem o equivalente. acho melhor continuar com a spartan. há um orçamento da adptolim na pasta email em orçamento jul17) pq é área externa e foi muito bom 5lts foi muito justo melhor 10 ou 15 lts e 2. removedor lim magico super removedor de 2lts. 3. Usamos cloro para clarear o piso externo 2lts. Repetimos a compra em jul17 na limpeza pura mesmo pq deu certo e tem prodts de 2lts.
CAMPOLI,Descartáveis,Descartável,Copo água 180ml cx c/ 2500,,,54.9,1,Avaliar no cliente o que ele já usa. Copos cuidado para que não seja uma marca muito ruim causando desperdicio em descartes
CAMPOLI,Descartáveis,Descartável,Copo café cx c/ 5000,,,59.9,1,Avaliar no cliente o que ele já usa. Copos cuidado para que não seja uma marca muito ruim causando desperdicio em descartes
CAMPOLI,Descartáveis,Descartável,Papel higienico interfolha - dispenser convencional,,,0,12,Analisar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Papel higiênico interfolha folha dupla cx c/ 8.000 fls,,,78,1,Necessidade de estudo no cliente para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Avaliar no cliente o que ele já usa. Checar com a OP e a DI. existe tambem no CM uma planilha de calculo que pode ser avaliada.
CAMPOLI,Descartáveis,Descartável,Papel higiênico rolão - dispenser convencional,,,0,1,Analisar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Papel higiênico rolão branco folha dupla cx c/ 8X200 fls,,,68.9,1,Necessidade de estudo no cliente para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Avaliar no cliente o que ele já usa. Checar com a OP e a DI. existe tambem no CM uma planilha de calculo que pode ser avaliada.
CAMPOLI,Descartáveis,Descartável,Papel higiênico rolão cx com 8X300 luxo,,,33.9,1,Necessidade de estudo no cliente para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Avaliar no cliente o que ele já usa. Checar com a OP e a DI. existe tambem no CM uma planilha de calculo que pode ser avaliada.
CAMPOLI,Descartáveis,Descartável,Papel higiênico rolão cx com 8X300 padrão,,,18.9,1,Necessidade de estudo no cliente para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Avaliar no cliente o que ele já usa. Checar com a OP e a DI. existe tambem no CM uma planilha de calculo que pode ser avaliada.
CAMPOLI,Descartáveis,Descartável,Papel toalha interfolha - dispenser convencional,,,0,12,Analisar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Papel toalha interfolha bco 2 dobras 20X21 fdo c/ 1000fls,,,6.95,1,Necessidade de estudo no cliente para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Avaliar no cliente o que ele já usa. Checar com a OP e a DI. existe tambem no CM uma planilha de calculo que pode ser avaliada.
CAMPOLI,Descartáveis,Descartável,Papel toalha interfolha bco 2 dobras extra luxo 20X21 c/ 1000fls,,,9.15,1,Necessidade de estudo no cliente para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Avaliar no cliente o que ele já usa. Checar com a OP e a DI. existe tambem no CM uma planilha de calculo que pode ser avaliada.
CAMPOLI,Descartáveis,Descartável,Sabonete liquido - dispenser convencional,,,0,12,Analisar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Sabonete liquído 800 ml,,,5.6,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Sabonete liquido concentrado 5 lts,,,23.8,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Sabonete liquido espuma - dispenser convencional,,,0,12,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Sabonete liquido pronto uso 5 lts,,,8.9,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa.
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x100lts azul,,,28.9,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x100lts preto extra forte 90x95x010,,,29.9,1,Muito peso. Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x100lts preto leve,,,21.6,1,Pouco peso. Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x100lts verde,,,39.9,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x15lts preto 42x58x0.05,,,0,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x20lts preto 39x58,,,6.2,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x30lts preto 59x62x0.07,,,8.4,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x40lts preto 59x62,,,10.2,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x60lts preto,,,13.9,1,Tamanho medio. Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 100x60lts verde,,,24,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo 45x200lts preto reforçado,,,29.9,1,Com 45 unid no fardo. Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo hospitalar 100x100lts branco simbologia material infectante,,,43,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo hospitalar 100x15lts branco simbologia material infectante,,,17.9,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo hospitalar 100x30lts branco simbologia material infectante,,,19.9,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
CAMPOLI,Descartáveis,Descartável,Saco lixo hospitalar 100x50lts branco simbologia material infectante,,,25,1,Necessidade de estudo no cliente: para determinar quantidades. marca e qualidade necessaria (as vezes é melhor apresentar varios opções de preço porque o custo é alto). Checar com a OP e a DI. Avaliar no cliente o que ele já usa as vezes necessario pedir amostra
,Especiais,Container,Cont - Banheiro quimico - locação,,,0,0,Checar além da locação o transporte inicial e final da entrega da locação. minuta do contrato. multas sobre danos. mau uso. etc. Checar se WC químico cuidados insumos etc. A Iron tem cadastro de locação de container e WC químico na rentalbras campinas. Fazer cotação sempre próximo ao local do contrato para obter menor preço.
,Especiais,Container,Cont - Container na função portaria - locação,,,0,0,Checar além da locação o transporte inicial e final da entrega da locação. minuta do contrato. multas sobre danos. mau uso. etc. A Iron tem cadastro de locação de container e WC químico na rentalbras campinas. Fazer cotação sempre próximo ao local do contrato para obter menor preço.
,Especiais,Container,Cont - Portaria - locação,,,0,0,Checar além da locação o transporte inicial e final da entrega da locação. minuta do contrato. multas sobre danos. mau uso. etc. A Iron tem cadastro de locação de container e WC químico na rentalbras campinas. Fazer cotação sempre próximo ao local do contrato para obter menor preço.
,Especiais,Jardim,Caçamba capacidade 3 m2 detritos jardim - LOCAÇÃO,,,0,0,Somente locação. SEMPRE cotar na cidade de uso da caçamba porque o preço varia muito. Perguntar ao prospect de que empresa ele já loca E O TAMANHO p chegar ao menor preço
,Especiais,Jardim,Caçamba capacidade 5 m2 detritos jardim - LOCAÇÃO,cotar na cidade proposta,Não,0,0,Somente locação. SEMPRE cotar na cidade de uso da caçamba porque o preço varia muito. Perguntar ao prospect de que empresa ele já loca E O TAMANHO p chegar ao menor preço
,Especiais,Jardim,Caçamba capacidade 6 m2 detritos jardim - LOCAÇÃO,,,0,0,Somente locação. SEMPRE cotar na cidade de uso da caçamba porque o preço varia muito. Perguntar ao prospect de que empresa ele já loca E O TAMANHO p chegar ao menor preço
Orsatti,Especiais,Jardim,Carreta de 1 eixo capacidade para 1.2 toneladas,,,0,0,SOMENTE LOCAÇÃO 1 eixo são apenas 2 rodas tem maior mobilidade do que 2 eixos (4 rodas não recomendado) mais detalhes com fornecedores Tramac (o melhor)
Orsatti,Especiais,Jardim,Roçadeira de arrasto para grandes areas com engate para trator ou similar,,,0,0,SOMENTE LOCAÇÃO mais detalhes com fornecedores Tramac (o melhor).
Orsatti,Especiais,Jardim,Trator agricola de 75HP cabine aberta com cobertura,,,0,0,SOMENTE LOCAÇÃO sugestão marca Agrale modelo 5075 ano 2009 mais detalhes com fornecedores Tramac (o melhor).
BALUARTE,Especiais,Lavadora,Lavadora secadora piso - Detergente ESPECIFICO 5 lts,TODOS OS MODELOS,,48,1,OBRIGATORIO USO SEMPRE. Durabilidade grande. uma tampa do galão para cada tanque da lavadora.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso - Detergente ESPECIFICO 20 lts,TODOS OS MODELOS,,0,0,OBRIGATORIO USO SEMPRE. Durabilidade grande. uma tampa do galão para cada tanque da lavadora.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria a3 - discos tipo 3M,mod A300 alfa tenant,,0,1,ATENÇÃO USO DE DISCO: obrigatorio a locação de instalock. Checar no titulo enceradeira durabilidade/mês. quantidade. cor e tamanho. Checar SEMPRE se há necessidade de escova + disco e cotar.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria a3 - escova nylon com instalock,mod A300 alfa tenant,,450,4,ANALISAR A REAL NECESSIDADE E DEPRECIAÇÃO ENTRE DISCOS DE FIBRA 3M E ESCOVAS DE NYLON NORMALMENTE USAMOS UM OU OUTRO E NÃO OS DOIS JUNTOS Escova é a única coisa que a Baluarte não loca. somente venda. Desconto de até R$ 1.500.00 confirmar com Magda Baluarte. Checar preços dos acessorios sempre conforme o modelo do equipamento.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria a3 - lamina borracha do rodo,mod A300 alfa tenant,,155,12,ANALISAR DEPRECIAÇÃO CASO A CASO |||| Lavadoras. B70 e A3 (a bateria) e modelo Alfa1000 (elétrica). Checar preços dos acessorios sempre conforme o modelo do equipamento.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria a3 - LOCAÇÃO MENSAL,mod A300 alfa tenant,,1300,1,Checar a necessidade de escova + disco e instalock. nem sempre usamos os dois.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria a3 - manutenção e seguro: roubo. incendio. etc,mod A300 alfa tenant,,700,12,CHECAR O TAMANHO DO EQUIP E VALOR Seguro bradesco furto. incendio intemperie 200.00 ao ano em jul18. Os valores variam conforme o valor e modelo do equipamento. checar se as baterias entram no valor do seguro. Cotações e modelo apolice existentes em arquivo eletronico no CM. a DI SEMPRE deve acompanhar e aprovar as cotações.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria a3 - peça do rodo completa,mod A300 alfa tenant,,480,30,DISCOS checar diametros e ir no item enceradeiras para incluir na proposta. ANALISAR DEPRECIAÇÃO CASO A CASO |||| Lavadoras. B70 e A3 (a bateria) e modelo Alfa1000 (elétrica). Checar preços dos acessorios sempre conforme o modelo do equipamento.
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b - discos tipo 3M,mod Brava alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b - escova nylon com instalock,mod Brava alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b - lamina borracha do rodo,mod Brava alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b - LOCAÇÃO MENSAL,mod Brava alfa tenant,,5950,1,Modelo Brava. inclui suporte para os 02 discos/escovas + sabão próprio 5 lts + manutenção e treinamento (retira)
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b - manutenção e seguro: roubo. incendio,mod Brava alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b - peça do rodo completa,mod Brava alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - + kit bateria extra - LOCAÇÃO MENSAL,mod B70 alfa tenant,,2200,1,Checar necessidade de bateria extra. Modelo Alfa B70 Desconto de até R$ 1.200.00 confirmar com Magda Baluarte
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - discos tipo 3M,mod B70 alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - escova nylon com instalock,mod B70 alfa tenant,,0,4,Checar depreciação
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - lamina borracha do rodo,mod B70 alfa tenant,,0,12,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - LOCAÇÃO MENSAL,mod B70 alfa tenant,,1700,1,ATENÇÃO cotar sempre os acessorios necessarios nem sempre é preciso escova + discos (pode ser um ou outro conforme o piso).
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - manutenção e seguro: roubo. incendio,mod B70 alfa tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso bateria b7 - peça do rodo completa,mod B70 alfa tenant,,0,30,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso dirigivel bateria t7 - discos tipo 3M,mod T7 tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso dirigivel bateria t7 - escova nylon com instalock,mod T7 tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso dirigivel bateria t7 - lamina borracha do rodo,mod T7 tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso dirigivel bateria t7 - LOCAÇÃO MENSAL,mod T7 tenant,,4700,1,Modelo T7 Tennant. inclui 02 discos. 01 sabão próprio máquina 5 lts + manutenção. entrega e treinamento
BALUARTE,Especiais,Lavadora,Lavadora secadora piso dirigivel bateria t7 - manutenção e seguro: roubo. incendio,mod T7 tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso dirigivel bateria t7 - peça do rodo completa,mod T7 tenant,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso eletrica - discos tipo 3M,mod Alfa 1000,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso eletrica - escova nylon com instalock,mod Alfa 1000,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso eletrica - lamina borracha do rodo,mod Alfa 1000,,0,0,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso eletrica - LOCAÇÃO MENSAL,mod Alfa 1000,,750,1,Serviços mais leves. areas menores e que permitam uso eletrico (cabos pelo chão)
BALUARTE,Especiais,Lavadora,Lavadora secadora piso eletrica - manutenção e seguro: roubo. incendio. etc,mod Alfa 1000,,500,12,
BALUARTE,Especiais,Lavadora,Lavadora secadora piso eletrica - peça do rodo completa,mod Alfa 1000,,0,0,
PROTECAMP,Jardim,EPI,Avental de raspa 1.10 x 0.60,,,25.6,12,Uso serviços de recolha de lixo e residuos e jardim
PROTECAMP,Jardim,EPI,Boné arabe - cobre nuca,,,25,6,Se não for usado capacete então usar com protetor facial
PROTECAMP,Jardim,EPI,Bota PVC piso molhado,,,35,12,Cores preta ou branca. Checar a melhor opção em função local de uso
PROTECAMP,Jardim,EPI,Botina/sapato biqueira de pvc,,,50,12,Checar real necessidade já existe um custo do sapato sem biqueira no custo do uniforme
PROTECAMP,Jardim,EPI,Capacete com protetor facial em Pvc,,,30,12,
PROTECAMP,Jardim,EPI,Colete refletivo tipo X somente tiras cruzadas,,,12,12,Este modelo tem menor custo e funciona bem
PROTECAMP,Jardim,EPI,Colete refletivo tipo X somente tiras cruzadas,,,12,12,Este modelo tem menor custo e funciona bem
PROTECAMP,Jardim,EPI,Luva algodão pigmentada,,,2.5,3,Uso com roçadeiras e jardim
DUTRA MAQUINAS,Jardim,EPI,Luva Raspa Punho Longo 20CM,,,15,6,
PROTECAMP,Jardim,EPI,Mascara respiratória com valvula e filtro de reposição,,,34.8,6,
PROTECAMP,Jardim,EPI,Mascara respiratoria descartavel poeira. névoa e fumo,,,0.15,1,Caixa com 100 unidades MELHOR VALOR.
PROTECAMP,Jardim,EPI,Mascara respiratoria poeira com valvula,,,45,6,Uso roçadeira e outros ambientes industriais com pó.
PROTECAMP,Jardim,EPI,Óculos de segurança,,,5,12,
PROTECAMP,Jardim,EPI,Perneira de raspa fechamento em velcro,,,21.8,12,
PROTECAMP,Jardim,EPI,Protetor auricular concha,,,8,12,
PROTECAMP,Jardim,EPI,Protetor auricular plug silicone,,,2.5,12,
PROTECAMP,Jardim,EPI,Protetor facial em pvc,,,16,6,Checar se a melhor opção não seria o capacete com protetor facial
PROTECAMP,Jardim,EPI,Protetor solar fps 30 UV 120ml,,,6.33,12,Checar real necessidade
TIP TRAP,Jardim,Equipamento,Equip Aspirador de folhas carrinho gas,MTD gasol mod. 203b,sim,6700,0,DISPONIVEL NA SEDE ENTAO CEDER COMO CORTESIA E COBRAR APENAS MANUTENÇÃO (será usado até o fim de vida do equipamento). Aplicação em grandes áreas. devido seu feixe de aspiração. Motor 4 tempos. potência 6.0 HP. partida manual retrátil. cap bolsa coletora 106L. largura da aspiração 61cm.
ELÉTRICA VALINHOS,Jardim,Equipamento,Equip Cabo extensão elétrica 2x2.5 mm - UNID X METRO,,,3.56,24,CHECAR METRAGEM E BITOLA DO CABO COM RELAÇÃO AO TIPO DE EQUIPAMENTO - Uso em equipamentos de baixa potência. aspirador convencional. lavadora wap. Considerar no custo os plugs macho e fêmea de 10 amp R$ 2.50 cd em mai18.
ELÉTRICA VALINHOS,Jardim,Equipamento,Equip Cabo extensão elétrica 2x4 mm - UNID X METRO,,,4.6,24,CHECAR METRAGEM E BITOLA DO CABO COM RELAÇÃO AO TIPO DE EQUIPAMENTO - Uso em quipamentos de alta potência como: aspiradores industriais. enceradeiras. carrinho de cortar grama. Considerar no custo os plugs macho e fêmea de 10 amp R$ 4.50 cd em mai18.
DUTRA MAQUINAS,Jardim,Equipamento,Equip Cortador grama - Manutenção CORTADOR E DO APARADOR de grama elétrico pequenas áreas,,,250,12,
